Artist,Day,Hits,NoOfLoved,Score,Year,DayRanking
Black Pumas,3/8/2019,5,0,11,2019,2
Boytronic,3/8/2019,5,0,5,2019,2
Mattiel,3/8/2019,5,0,11,2019,2
Damon Locks; Black Monument Ensemble,3/8/2019,4,0,8,2019,3
Jane Weaver,3/8/2019,4,0,8,2019,3
KEŘMA,3/8/2019,4,0,8,2019,3
Sly Johnson,3/8/2019,4,0,8,2019,3
Kishi Bashi,4/8/2019,7,0,19,2019,1
BITW,4/8/2019,5,0,5,2019,2
Black Pumas,4/8/2019,5,0,5,2019,2
Boytronic,4/8/2019,5,0,5,2019,2
Calexico & Iron & Wine,4/8/2019,5,0,11,2019,2
Mattiel,4/8/2019,5,0,5,2019,2
Jane Weaver,4/8/2019,4,0,4,2019,3
KEŘMA,4/8/2019,4,0,4,2019,3
Sly Johnson,4/8/2019,4,0,4,2019,3
The Cinematic Orchestra,4/8/2019,4,0,8,2019,3
Kishi Bashi,5/8/2019,7,0,7,2019,1
Leyla McCalla,5/8/2019,6,0,12,2019,2
BITW,5/8/2019,5,0,5,2019,3
Black Pumas,5/8/2019,5,0,5,2019,3
Boytronic,5/8/2019,5,0,5,2019,3
Calexico & Iron & Wine,5/8/2019,5,0,5,2019,3
Mattiel,5/8/2019,5,0,5,2019,3
Billie Eilish,6/8/2019,8,0,20,2019,1
Kishi Bashi,6/8/2019,7,0,7,2019,2
Leyla McCalla,6/8/2019,6,0,6,2019,3
Billie Eilish,7/8/2019,7,0,7,2019,1
Leyla McCalla,7/8/2019,6,0,6,2019,2
Camel Power Club,7/8/2019,4,0,8,2019,3
The Cat Empire,7/8/2019,4,0,8,2019,3
The Cinematic Orchestra,7/8/2019,4,0,8,2019,3
Billie Eilish,8/8/2019,7,0,7,2019,1
Leyla McCalla,8/8/2019,6,0,6,2019,2
Camel Power Club,8/8/2019,4,0,4,2019,3
The Cat Empire,8/8/2019,4,0,4,2019,3
The Cinematic Orchestra,8/8/2019,4,0,4,2019,3
Billie Eilish,9/8/2019,8,0,20,2019,1
Leyla McCalla,9/8/2019,6,0,6,2019,2
Camel Power Club,9/8/2019,4,0,4,2019,3
Condor Gruppe,9/8/2019,4,0,8,2019,3
The Cat Empire,9/8/2019,4,0,4,2019,3
The Cinematic Orchestra,9/8/2019,4,0,4,2019,3
Billie Eilish,10/8/2019,8,0,8,2019,1
Leyla McCalla,10/8/2019,6,0,6,2019,2
Camel Power Club,10/8/2019,4,0,4,2019,3
The Cat Empire,10/8/2019,4,0,4,2019,3
The Cinematic Orchestra,10/8/2019,4,0,4,2019,3
Curse Of Lono,11/8/2019,12,1,44,2019,1
Billie Eilish,11/8/2019,7,0,7,2019,2
Leyla McCalla,11/8/2019,4,0,4,2019,3
Curse Of Lono,12/8/2019,32,1,64,2019,1
Machine Gun Kelly,12/8/2019,12,0,18,2019,2
Khruangbin,12/8/2019,10,0,14,2019,3
Curse Of Lono,13/8/2019,35,0,47,2019,1
Kool Keith,13/8/2019,16,0,22,2019,2
Machine Gun Kelly,13/8/2019,12,0,12,2019,3
Curse Of Lono,14/8/2019,36,0,48,2019,1
Kool Keith,14/8/2019,16,0,16,2019,2
Pouya,14/8/2019,14,0,18,2019,3
Dropps,14/8/2019,0,1,20,2019,0
Curse Of Lono,15/8/2019,37,0,49,2019,1
Rakeem Miles,15/8/2019,24,1,50,2019,2
Kool Keith,15/8/2019,16,0,16,2019,3
Curse Of Lono,16/8/2019,39,0,51,2019,1
Rakeem Miles,16/8/2019,24,0,24,2019,2
Why?,16/8/2019,20,0,24,2019,3
Curse Of Lono,17/8/2019,39,0,39,2019,1
Rakeem Miles,17/8/2019,32,0,38,2019,2
Das EFX,17/8/2019,25,0,29,2019,3
Why?,17/8/2019,25,0,29,2019,3
Purple Pilgrims,17/8/2019,0,1,20,2019,0
The Flaming Lips,17/8/2019,0,1,20,2019,0
Catching Flies,17/8/2019,0,1,20,2019,0
Rakeem Miles,18/8/2019,32,0,32,2019,1
Curse Of Lono,18/8/2019,27,0,27,2019,2
Das EFX,18/8/2019,25,0,25,2019,3
Why?,18/8/2019,25,0,25,2019,3
Rakeem Miles,19/8/2019,32,0,32,2019,1
Das EFX,19/8/2019,25,0,25,2019,2
Why?,19/8/2019,25,0,25,2019,2
Kool Keith,19/8/2019,21,0,25,2019,3
Rakeem Miles,20/8/2019,32,0,32,2019,1
Das EFX,20/8/2019,25,0,25,2019,2
Why?,20/8/2019,25,0,25,2019,2
Pouya,20/8/2019,16,0,20,2019,3
The Flaming Lips,20/8/2019,16,0,20,2019,3
Rakeem Miles,21/8/2019,32,0,32,2019,1
Das EFX,21/8/2019,25,0,25,2019,2
Why?,21/8/2019,25,0,25,2019,2
Schiller,21/8/2019,20,0,24,2019,3
Friendly Fires,21/8/2019,0,1,20,2019,0
Das EFX,22/8/2019,26,0,38,2019,1
Schiller,22/8/2019,20,0,20,2019,2
Jadu Heart,22/8/2019,19,0,23,2019,3
Murs 9th Wonder The Soul Council,22/8/2019,19,0,23,2019,3
Rakeem Miles,22/8/2019,0,1,20,2019,0
Harkin Sarah Silverman,22/8/2019,0,1,20,2019,0
Generationals,22/8/2019,0,1,20,2019,0
Curse Of Lono,22/8/2019,0,1,20,2019,0
Schiller,23/8/2019,26,0,38,2019,1
Murs 9th Wonder The Soul Council,23/8/2019,22,0,28,2019,2
Jadu Heart,23/8/2019,20,0,24,2019,3
The Crooked Yet Fabulous Onion,23/8/2019,20,0,24,2019,3
Why?,23/8/2019,0,2,40,2019,0
Schiller,24/8/2019,26,0,26,2019,1
Murs 9th Wonder The Soul Council,24/8/2019,22,0,22,2019,2
Curse Of Lono,24/8/2019,21,0,25,2019,3
Schiller,25/8/2019,26,0,26,2019,1
Murs 9th Wonder The Soul Council,25/8/2019,22,0,22,2019,2
Curse Of Lono,25/8/2019,21,0,21,2019,3
Schiller,26/8/2019,26,0,26,2019,1
Curse Of Lono,26/8/2019,21,0,21,2019,2
Jadu Heart,26/8/2019,21,0,27,2019,2
Rakeem Miles,26/8/2019,19,0,23,2019,3
Why?,26/8/2019,19,0,23,2019,3
Why?,27/8/2019,26,0,38,2019,1
Curse Of Lono,27/8/2019,22,0,28,2019,2
Rakeem Miles,27/8/2019,20,0,24,2019,3
Willow,27/8/2019,20,0,24,2019,3
Why?,28/8/2019,29,0,41,2019,1
Rakeem Miles,28/8/2019,23,0,29,2019,2
Curse Of Lono,28/8/2019,16,0,16,2019,3
Why?,29/8/2019,22,0,22,2019,1
Rakeem Miles,29/8/2019,16,0,16,2019,2
The Flaming Lips,29/8/2019,15,0,19,2019,3
Rapsody,30/8/2019,17,0,29,2019,1
Why?,30/8/2019,17,0,17,2019,1
Rakeem Miles,30/8/2019,16,0,16,2019,2
Universal Hippies,30/8/2019,16,0,22,2019,2
Ripperton,30/8/2019,13,0,17,2019,3
Rapsody,31/8/2019,24,0,36,2019,1
Universal Hippies,31/8/2019,17,0,23,2019,2
Why?,31/8/2019,17,0,17,2019,2
Rakeem Miles,31/8/2019,16,0,16,2019,3
Rapsody,1/9/2019,24,0,24,2019,1
Universal Hippies,1/9/2019,17,0,17,2019,2
Why?,1/9/2019,17,0,17,2019,2
Ripperton,1/9/2019,13,0,17,2019,3
SIVAN TALMOR,1/9/2019,13,0,17,2019,3
Rapsody,2/9/2019,24,0,24,2019,1
Universal Hippies,2/9/2019,17,0,17,2019,2
Ripperton,2/9/2019,13,0,13,2019,3
SIVAN TALMOR,2/9/2019,13,0,13,2019,3
Rapsody,3/9/2019,30,2,82,2019,1
Seratones,3/9/2019,18,0,24,2019,2
Universal Hippies,3/9/2019,17,0,17,2019,3
L'Aupaire,3/9/2019,0,1,20,2019,0
Rapsody,4/9/2019,31,0,43,2019,1
Felix Ayodele,4/9/2019,18,0,24,2019,2
Seratones,4/9/2019,18,0,18,2019,2
Universal Hippies,4/9/2019,17,0,17,2019,3
BFC,4/9/2019,0,1,20,2019,0
Manu Chao,5/9/2019,40,0,52,2019,1
Rapsody,5/9/2019,33,0,39,2019,2
The Expert,5/9/2019,20,0,24,2019,3
BFC,5/9/2019,0,1,20,2019,0
Manu Chao,6/9/2019,45,2,97,2019,1
Weyes Blood,6/9/2019,22,0,28,2019,2
The Expert,6/9/2019,20,0,20,2019,3
LINGUA IGNOTA,6/9/2019,0,1,20,2019,0
Manu Chao,7/9/2019,52,0,64,2019,1
Weyes Blood,7/9/2019,22,0,22,2019,2
The Expert,7/9/2019,21,0,25,2019,3
Manu Chao,8/9/2019,52,0,52,2019,1
Weyes Blood,8/9/2019,28,0,34,2019,2
The Expert,8/9/2019,21,0,21,2019,3
Manu Chao,9/9/2019,52,0,52,2019,1
Weyes Blood,9/9/2019,28,0,28,2019,2
Jidenna,9/9/2019,21,0,25,2019,3
The Expert,9/9/2019,21,0,21,2019,3
Manu Chao,10/9/2019,52,0,52,2019,1
Weyes Blood,10/9/2019,28,0,28,2019,2
Jidenna,10/9/2019,21,0,21,2019,3
The Expert,10/9/2019,21,0,21,2019,3
Manu Chao,11/9/2019,52,0,52,2019,1
Weyes Blood,11/9/2019,28,0,28,2019,2
CHALI 2NA & KRAFTY KUTS,11/9/2019,21,0,25,2019,3
The Expert,11/9/2019,21,0,21,2019,3
Weyes Blood,12/9/2019,28,0,28,2019,1
Olivia Jean,12/9/2019,22,0,28,2019,2
CHALI 2NA & KRAFTY KUTS,12/9/2019,21,0,21,2019,3
Maria Usbeck,12/9/2019,0,1,20,2019,0
CHALI 2NA & KRAFTY KUTS,13/9/2019,21,0,21,2019,1
Rapsody,13/9/2019,19,1,45,2019,2
Capsula,13/9/2019,16,0,20,2019,3
Olivia Jean,13/9/2019,16,0,16,2019,3
BFC,13/9/2019,0,1,20,2019,0
CHALI 2NA & KRAFTY KUTS,14/9/2019,26,0,38,2019,1
Rapsody,14/9/2019,19,0,19,2019,2
Capsula,14/9/2019,18,0,22,2019,3
CHALI 2NA & KRAFTY KUTS,15/9/2019,26,0,26,2019,1
Rapsody,15/9/2019,19,0,19,2019,2
Capsula,15/9/2019,18,0,18,2019,3
Rapsody,16/9/2019,24,0,36,2019,1
Bat for Lashes,16/9/2019,16,0,22,2019,2
Olivia Jean,16/9/2019,16,0,22,2019,2
Stereonet,16/9/2019,15,0,19,2019,3
Rapsody,17/9/2019,24,0,24,2019,1
Stereonet,17/9/2019,19,0,25,2019,2
Olivia Jean,17/9/2019,17,0,21,2019,3
Manu Chao,18/9/2019,27,0,39,2019,1
Rapsody,18/9/2019,25,0,31,2019,2
BFC,18/9/2019,19,0,23,2019,3
Manu Chao,19/9/2019,28,0,40,2019,1
Weyes Blood,19/9/2019,25,0,31,2019,2
BFC,19/9/2019,20,0,24,2019,3
Manu Chao,20/9/2019,27,0,27,2019,1
Weyes Blood,20/9/2019,24,0,24,2019,2
BFC,20/9/2019,14,0,14,2019,3
Curse Of Lono,20/9/2019,14,0,18,2019,3
Ten Years After,20/9/2019,0,1,20,2019,0
Manu Chao,21/9/2019,25,0,25,2019,1
Weyes Blood,21/9/2019,18,0,18,2019,2
Ten Years After,21/9/2019,17,0,21,2019,3
Manu Chao,22/9/2019,25,0,25,2019,1
The Legendary Pink Dots,22/9/2019,20,1,46,2019,2
Weyes Blood,22/9/2019,18,0,18,2019,3
Manu Chao,23/9/2019,25,0,25,2019,1
The Legendary Pink Dots,23/9/2019,20,0,20,2019,2
Weyes Blood,23/9/2019,18,0,18,2019,3
The Legendary Pink Dots,24/9/2019,20,0,20,2019,1
Manu Chao,24/9/2019,18,0,18,2019,2
Ten Years After,24/9/2019,17,0,21,2019,3
Ten Years After,25/9/2019,20,0,32,2019,1
The Legendary Pink Dots,25/9/2019,20,0,20,2019,1
Gemini Risin Tensnake & Fiora,25/9/2019,16,0,22,2019,2
Hellsingland Underground,25/9/2019,16,0,22,2019,2
Weyes Blood,25/9/2019,12,0,16,2019,3
Arrested Youth,25/9/2019,0,1,20,2019,0
The Legendary Pink Dots,26/9/2019,21,0,33,2019,1
Ten Years After,26/9/2019,20,0,20,2019,2
Gemini Rising Tensnake & Fiora,26/9/2019,16,0,16,2019,3
Hellsingland Underground,26/9/2019,16,0,16,2019,3
The Legendary Pink Dots,27/9/2019,17,0,17,2019,1
Ten Years After,27/9/2019,11,0,11,2019,2
Rubin Steiner,27/9/2019,9,0,13,2019,3
Ry Cooder,27/9/2019,9,1,33,2019,3
Rubin Steiner,28/9/2019,9,0,9,2019,1
Ry Cooder,28/9/2019,9,0,9,2019,1
Emily Breeze,28/9/2019,8,0,14,2019,2
The Legendary Pink Dots,28/9/2019,7,0,7,2019,3
Tribes of the City,28/9/2019,7,0,11,2019,3
Work Drugs,28/9/2019,7,0,11,2019,3
Ry Cooder,29/9/2019,10,0,22,2019,1
Rubin Steiner,29/9/2019,9,0,9,2019,2
Work Drugs,29/9/2019,9,0,15,2019,2
Emily Breeze,29/9/2019,8,0,8,2019,3
Octo Octa,29/9/2019,8,0,12,2019,3
Ten Years After,29/9/2019,8,0,12,2019,3
The Legendary Pink Dots,29/9/2019,8,0,12,2019,3
Tinariwen,29/9/2019,0,1,20,2019,0
Eskimos of Love,30/9/2019,14,0,26,2019,1
Ry Cooder,30/9/2019,10,0,10,2019,2
JPEGMAFIA,30/9/2019,9,0,13,2019,3
Rubin Steiner,30/9/2019,9,0,9,2019,3
Work Drugs,30/9/2019,9,0,9,2019,3
Eskimos of Love,1/10/2019,14,0,14,2019,1
Ry Cooder,1/10/2019,13,0,19,2019,2
Rubin Steiner,1/10/2019,12,0,16,2019,3
Work Drugs,1/10/2019,0,1,20,2019,0
Eskimos of Love,2/10/2019,14,0,14,2019,1
Devendra Banhart,2/10/2019,13,0,19,2019,2
Rubin Steiner,2/10/2019,12,0,12,2019,3
Eskimos of Love,3/10/2019,19,0,31,2019,1
Belle and Sebastian,3/10/2019,18,0,24,2019,2
Devendra Banhart,3/10/2019,15,0,19,2019,3
The Souljazz Orchestra,3/10/2019,0,1,20,2019,0
Sequoyah Murray,3/10/2019,0,1,20,2019,0
Eskimos of Love,4/10/2019,19,0,19,2019,1
Belle and Sebastian,4/10/2019,18,0,18,2019,2
Devendra Banhart,4/10/2019,17,0,21,2019,3
Future Pilot Aka,4/10/2019,0,1,20,2019,0
Eskimos of Love,5/10/2019,19,0,19,2019,1
Belle and Sebastian,5/10/2019,18,0,18,2019,2
Devendra Banhart,5/10/2019,17,0,17,2019,3
riles,5/10/2019,0,1,20,2019,0
Eskimos of Love,6/10/2019,19,0,19,2019,1
Belle and Sebastian,6/10/2019,18,0,18,2019,2
Devendra Banhart,6/10/2019,17,0,17,2019,3
Belle and Sebastian,7/10/2019,18,0,18,2019,1
Devendra Banhart,7/10/2019,17,0,17,2019,2
Eskimos of Love,7/10/2019,17,0,17,2019,2
Julie Plug,7/10/2019,14,0,18,2019,3
Men I Trust,7/10/2019,14,0,18,2019,3
Matana Roberts,9/10/2019,13,0,25,2019,1
riles,9/10/2019,12,0,18,2019,2
Belle and Sebastian,9/10/2019,11,0,15,2019,3
The New Pornographers,9/10/2019,11,0,15,2019,3
Angelina,11/10/2019,15,0,27,2019,1
The New Pornographers,11/10/2019,13,0,19,2019,2
Sui Zhen,11/10/2019,9,0,13,2019,3
Billy Bultheel,12/10/2019,14,0,26,2019,1
Nick Cave & The Bad Seeds,12/10/2019,14,0,26,2019,1
Trentemøller,12/10/2019,10,0,16,2019,2
Matana Roberts,12/10/2019,7,0,11,2019,3
The Legendary Pink Dots,12/10/2019,7,0,11,2019,3
Laurie Anderson Tenzin Choegyal Jesse Paris Smith,13/10/2019,15,0,27,2019,1
Billy Bultheel,13/10/2019,14,0,14,2019,2
Nick Cave & The Bad Seeds,13/10/2019,14,0,14,2019,2
Trentemøller,13/10/2019,10,0,10,2019,3
Laurie Anderson Tenzin Choegyal Jesse Paris Smith,14/10/2019,15,0,15,2019,1
Billy Bultheel,14/10/2019,14,0,14,2019,2
Nick Cave & The Bad Seeds,14/10/2019,14,0,14,2019,2
Trentemøller,14/10/2019,10,0,10,2019,3
The Comet Is Coming,14/10/2019,0,1,20,2019,0
Laurie Anderson Tenzin Choegyal Jesse Paris Smith,15/10/2019,18,0,30,2019,1
Vagabon,15/10/2019,16,2,62,2019,2
Babe Rainbow,15/10/2019,15,0,19,2019,3
Laurie Anderson Tenzin Choegyal Jesse Paris Smith,16/10/2019,18,0,18,2019,1
Vagabon,16/10/2019,16,0,16,2019,2
Babe Rainbow,16/10/2019,15,0,15,2019,3
Matana Roberts,16/10/2019,0,1,20,2019,0
riles,16/10/2019,0,1,20,2019,0
Ry Cooder,16/10/2019,0,1,20,2019,0
Zoo Boutique,16/10/2019,0,1,20,2019,0
Vagabon,17/10/2019,20,0,32,2019,1
Babe Rainbow,17/10/2019,18,0,24,2019,2
Laurie Anderson Tenzin Choegyal Jesse Paris Smith,17/10/2019,18,0,18,2019,2
The Comet Is Coming,17/10/2019,16,1,40,2019,3
Vagabon,18/10/2019,20,0,20,2019,1
Babe Rainbow,18/10/2019,18,0,18,2019,2
Laurie Anderson Tenzin Choegyal Jesse Paris Smith,18/10/2019,18,0,18,2019,2
The Comet Is Coming,18/10/2019,16,0,16,2019,3
Babe Rainbow,19/10/2019,21,0,33,2019,1
Vagabon,19/10/2019,21,0,33,2019,1
The Comet Is Coming,19/10/2019,18,0,24,2019,2
Billy Bultheel,19/10/2019,17,0,21,2019,3
Babe Rainbow,20/10/2019,21,0,21,2019,1
Vagabon,20/10/2019,21,0,21,2019,1
The Comet Is Coming,20/10/2019,18,0,18,2019,2
Bror Gunnar Jansson,20/10/2019,15,0,19,2019,3
Vagabon,21/10/2019,21,0,21,2019,1
Babe Rainbow,21/10/2019,19,0,19,2019,2
The Comet Is Coming,21/10/2019,13,0,13,2019,3
Matana Roberts,22/10/2019,13,0,25,2019,1
The Comet Is Coming,22/10/2019,12,0,12,2019,2
Billy Bultheel,22/10/2019,11,0,15,2019,3
Self Esteem,23/10/2019,13,0,25,2019,1
The Comet Is Coming,23/10/2019,12,0,12,2019,2
Billy Bultheel,23/10/2019,11,0,11,2019,3
Self Esteem,24/10/2019,13,0,13,2019,1
Fabienne DelSol,24/10/2019,10,0,16,2019,2
Swans,24/10/2019,10,1,36,2019,2
Youth Group,24/10/2019,10,0,16,2019,2
Mark Kozelek and Petra Haden,24/10/2019,9,0,13,2019,3
Mary Komasa,24/10/2019,9,0,13,2019,3
Self Esteem,25/10/2019,17,1,49,2019,1
Black Moon,25/10/2019,16,0,22,2019,2
Swans,25/10/2019,14,0,18,2019,3
Self Esteem,26/10/2019,17,0,17,2019,1
Black Moon,26/10/2019,16,0,16,2019,2
Swans,26/10/2019,16,0,22,2019,2
Fabienne DelSol,26/10/2019,14,0,18,2019,3
Mark Kozelek and Petra Haden,26/10/2019,14,0,18,2019,3
Black Moon,27/10/2019,20,0,32,2019,1
Swans,27/10/2019,20,0,32,2019,1
Self Esteem,27/10/2019,17,0,17,2019,2
The Body,27/10/2019,15,0,19,2019,3
Swans,28/10/2019,24,0,36,2019,1
Black Moon,28/10/2019,20,0,20,2019,2
Self Esteem,28/10/2019,17,0,17,2019,3
The Body,28/10/2019,17,0,21,2019,3
Swans,29/10/2019,24,0,24,2019,1
Black Moon,29/10/2019,22,0,28,2019,2
The Body,29/10/2019,19,0,23,2019,3
Anna Wise,30/10/2019,25,0,37,2019,1
Black Moon,30/10/2019,24,0,30,2019,2
Swans,30/10/2019,24,0,24,2019,2
The Body,30/10/2019,19,0,19,2019,3
Anna Wise,31/10/2019,25,0,25,2019,1
Black Moon,31/10/2019,24,0,24,2019,2
The Body,31/10/2019,19,0,19,2019,3
The Roots,31/10/2019,0,1,20,2019,0
Anna Wise,1/11/2019,26,0,38,2019,1
The Roots,1/11/2019,18,0,24,2019,2
Aquarian Blood,1/11/2019,14,0,18,2019,3
Anna Wise,2/11/2019,35,0,47,2019,1
The Roots,2/11/2019,22,0,28,2019,2
Aquarian Blood,2/11/2019,17,0,21,2019,3
Cigarettes After Sex,2/11/2019,17,2,61,2019,3
Ran Nir,2/11/2019,0,1,20,2019,0
Gloria Gift,2/11/2019,0,1,20,2019,0
Anna Wise,3/11/2019,35,0,35,2019,1
The Roots,3/11/2019,22,0,22,2019,2
Cigarettes After Sex,3/11/2019,18,0,22,2019,3
Pet Shop Boys feat. Years & Years,3/11/2019,0,1,20,2019,0
Anna Wise,4/11/2019,35,0,35,2019,1
The Roots,4/11/2019,22,0,22,2019,2
Cigarettes After Sex,4/11/2019,18,0,18,2019,3
The Desert Sessions,4/11/2019,18,0,22,2019,3
Anna Wise,5/11/2019,35,0,35,2019,1
Foreign Television,5/11/2019,29,0,35,2019,2
The Desert Sessions,5/11/2019,27,0,31,2019,3
Foreign Television,6/11/2019,31,0,43,2019,1
The Desert Sessions,6/11/2019,27,0,27,2019,2
Nadine Carina,6/11/2019,19,0,23,2019,3
Dada Ante Portas,6/11/2019,0,2,40,2019,0
Foreign Television,7/11/2019,29,0,29,2019,1
The Desert Sessions,7/11/2019,29,0,41,2019,1
Nadine Carina,7/11/2019,19,0,19,2019,2
Dada Ante Portas,7/11/2019,18,0,22,2019,3
The Desert Sessions,8/11/2019,29,0,29,2019,1
Foreign Television,8/11/2019,23,0,23,2019,2
Anna Wise,8/11/2019,21,0,25,2019,3
The Desert Sessions,9/11/2019,31,0,43,2019,1
Foreign Television,9/11/2019,28,0,34,2019,2
Manu Katche,9/11/2019,21,0,25,2019,3
The Desert Sessions,10/11/2019,31,0,31,2019,1
Foreign Television,10/11/2019,23,0,23,2019,2
Manu Katche,10/11/2019,21,0,21,2019,3
Foreign Television,11/11/2019,23,0,23,2019,1
Portland,11/11/2019,15,0,21,2019,2
Swans,11/11/2019,15,0,21,2019,2
Dada Ante Portas,11/11/2019,13,0,17,2019,3
The Desert Sessions,11/11/2019,13,0,13,2019,3
Swans,12/11/2019,15,0,15,2019,1
Anna Wise,12/11/2019,13,0,19,2019,2
Dada Ante Portas,12/11/2019,13,0,13,2019,2
Shantih Shantih,12/11/2019,12,0,16,2019,3
The Roots,12/11/2019,12,0,16,2019,3
Ten Years After,12/11/2019,0,1,20,2019,0
Fabienne DelSol,13/11/2019,9,0,21,2019,1
Manu Katche,13/11/2019,9,0,21,2019,1
Shantih Shantih,13/11/2019,9,0,9,2019,1
Swans,13/11/2019,9,0,9,2019,1
Anna Wise,13/11/2019,8,0,8,2019,2
Curse Of Lono,13/11/2019,8,0,14,2019,2
Foreign Television,13/11/2019,8,0,14,2019,2
The Roots,13/11/2019,8,0,8,2019,2
Das EFX,13/11/2019,7,0,11,2019,3
Ten Years After,14/11/2019,9,0,21,2019,1
Anna Wise,14/11/2019,8,0,8,2019,2
Curse Of Lono,14/11/2019,8,0,8,2019,2
Manu Chao,14/11/2019,8,0,14,2019,2
The Legendary Pink Dots,14/11/2019,8,0,14,2019,2
The Roots,14/11/2019,8,0,8,2019,2
Weyes Blood,14/11/2019,8,0,14,2019,2
Das EFX,14/11/2019,7,0,7,2019,3
Shantih Shantih,14/11/2019,7,0,7,2019,3
Ten Years After,15/11/2019,9,0,9,2019,1
Curse Of Lono,15/11/2019,8,0,8,2019,2
Manu Chao,15/11/2019,8,0,8,2019,2
The Legendary Pink Dots,15/11/2019,8,0,8,2019,2
Weyes Blood,15/11/2019,8,0,8,2019,2
Das EFX,15/11/2019,7,0,7,2019,3
Ten Years After,16/11/2019,9,0,9,2019,1
Curse Of Lono,16/11/2019,8,0,8,2019,2
Manu Chao,16/11/2019,8,0,8,2019,2
The Legendary Pink Dots,16/11/2019,8,0,8,2019,2
Weyes Blood,16/11/2019,8,0,8,2019,2
Das EFX,16/11/2019,7,0,7,2019,3
Fabienne DelSol,16/11/2019,7,0,11,2019,3
Ten Years After,17/11/2019,9,0,9,2019,1
Curse Of Lono,17/11/2019,8,0,8,2019,2
Manu Chao,17/11/2019,8,0,8,2019,2
The Legendary Pink Dots,17/11/2019,8,0,8,2019,2
Weyes Blood,17/11/2019,8,0,8,2019,2
Das EFX,17/11/2019,7,0,7,2019,3
Fabienne DelSol,17/11/2019,7,0,7,2019,3
Portland,17/11/2019,0,1,20,2019,0
Curse Of Lono,18/11/2019,9,0,21,2019,1
Manu Chao,18/11/2019,8,0,8,2019,2
Leyla McCalla,18/11/2019,7,0,11,2019,3
Billie Eilish,19/11/2019,12,1,44,2019,1
Leyla McCalla,19/11/2019,7,0,7,2019,2
Cigarettes After Sex,19/11/2019,6,0,10,2019,3
Curse Of Lono,19/11/2019,6,0,6,2019,3
Kishi Bashi,19/11/2019,6,0,10,2019,3
Manu Chao,19/11/2019,6,0,6,2019,3
The Legendary Pink Dots,19/11/2019,6,0,10,2019,3
Weyes Blood,19/11/2019,6,0,10,2019,3
Billie Eilish,20/11/2019,12,0,12,2019,1
Manu Chao,20/11/2019,12,0,24,2019,1
Curse Of Lono,20/11/2019,8,0,14,2019,2
Weyes Blood,20/11/2019,8,0,14,2019,2
Black Futures,20/11/2019,7,0,11,2019,3
Leyla McCalla,20/11/2019,7,0,7,2019,3
Billie Eilish,21/11/2019,12,0,12,2019,1
Swans,21/11/2019,11,0,17,2019,2
Aquarian Blood,21/11/2019,9,0,13,2019,3
Self Esteem,21/11/2019,9,0,13,2019,3
Billie Eilish,22/11/2019,18,0,30,2019,1
Cigarettes After Sex,22/11/2019,13,0,19,2019,2
Curse Of Lono,22/11/2019,11,0,15,2019,3
Swans,22/11/2019,11,0,11,2019,3
Billie Eilish,23/11/2019,18,0,18,2019,1
Cigarettes After Sex,23/11/2019,13,0,13,2019,2
Curse Of Lono,23/11/2019,11,0,11,2019,3
Manu Chao,23/11/2019,11,0,15,2019,3
Billie Eilish,24/11/2019,22,0,34,2019,1
Curse Of Lono,24/11/2019,16,0,22,2019,2
Manu Chao,24/11/2019,14,0,18,2019,3
Billie Eilish,25/11/2019,20,0,20,2019,1
Curse Of Lono,25/11/2019,15,0,15,2019,2
Manu Chao,25/11/2019,14,0,14,2019,3
Manu Chao,26/11/2019,14,0,14,2019,1
Marie Spaemann,26/11/2019,12,0,18,2019,2
Ill Camille,26/11/2019,11,0,15,2019,3
Pumarosa,26/11/2019,11,0,15,2019,3
