Artist,Day,Hits,
Desert Mountain Tribe,03/08/2018,34,34
Desert Mountain Tribe,04/08/2018,34,34
Desert Mountain Tribe,05/08/2018,34,34
James,06/08/2018,27,37
James,07/08/2018,27,27
James,08/08/2018,27,27
James,09/08/2018,27,27
Houndmouth,10/08/2018,15,25
Houndmouth,11/08/2018,15,15
Houndmouth,12/08/2018,15,15
Houndmouth,13/08/2018,20,30
Houndmouth,14/08/2018,27,37
Houndmouth,15/08/2018,27,27
Iglooghost,16/08/2018,18,28
The Love Language,16/08/2018,18,28
The Love Language,17/08/2018,19,29
The Love Language,18/08/2018,19,19
The Love Language,19/08/2018,19,19
The Love Language,20/08/2018,19,19
The Love Language,21/08/2018,16,16
Dragon Inn 3,22/08/2018,14,24
David Haerle,22/08/2018,14,24
Dragon Inn 3,23/08/2018,14,14
David Haerle,23/08/2018,14,14
David Haerle,24/08/2018,20,30
David Haerle,25/08/2018,21,31
David Haerle,26/08/2018,21,21
David Haerle,27/08/2018,21,21
David Haerle,28/08/2018,21,21
The Love Language,29/08/2018,9,19
The Love Language,30/08/2018,9,9
The Love Language,01/09/2018,5,15
The Love Language,02/09/2018,5,5
Frank Zappa,03/09/2018,19,29
Frank Zappa,04/09/2018,19,19
Blood Orange,05/09/2018,21,31
Blood Orange,06/09/2018,21,21
Blood Orange,07/09/2018,21,21
Blood Orange,08/09/2018,27,37
Blood Orange,09/09/2018,36,46
Blood Orange,10/09/2018,43,53
Blood Orange,11/09/2018,42,42
Blood Orange,12/09/2018,22,22
Blood Orange,13/09/2018 ,22,22
Blood Orange,14/09/2018 ,22,22
Blood Orange,15/09/2018,25,35
Gurrumul,15/09/2018,25,35
Charles Loyd & The Marvels + Lusicnda Williams,15/09/2018,25,35
Charles Loyd & The Marvels + Lusicnda Williams,16/09/2018,25,25
Gurrumul,16/09/2018,25,25
Gurrumul,17/09/2018 ,25,25
Charles Loyd & The Marvels + Lusicnda Williams,17/09/2018 ,25,25
Gurrumul,18/09/2018,29,39
Charles Loyd & The Marvels + Lusicnda Williams,19/09/2018 ,32,42
Charles Loyd & The Marvels + Lusicnda Williams,20/09/2018 ,32,32
Charles Loyd & The Marvels + Lusicnda Williams,21/09/2018 ,22,22
Lupe Fiasco,21/09/2018 ,22,32
