Artist,Day,Hits,
Desert Mountain Tribe,08/03/2018,34,34
Desert Mountain Tribe,08/04/2018,34,34
Desert Mountain Tribe,08/05/2018,34,34
James,08/06/2018,27,37
James,08/07/2018,27,27
James,08/08/2018,27,27
James,08/09/2018,27,27
Houndmouth,08/10/2018,15,25
Houndmouth,08/11/2018,15,15
Houndmouth,08/12/2018,15,15
Houndmouth,08/13/2018,20,30
Houndmouth,08/14/2018,27,37
Houndmouth,08/15/2018,27,27
Iglooghost,08/16/2018,18,28
The Love Language,08/16/2018,18,28
The Love Language,08/17/2018,19,29
